所属区域,小区名称,价格,房屋面积,户型
"朝阳-酒仙桥-芳园里
/
        92.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·芳园里 3室1厅 南/北,9500 元/月,,"官方核验
业主自荐
近地铁
集中供暖"
"海淀-海淀北部新区-六里屯四区
/
        84.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （10层）",整租·六里屯四区 2室1厅 南/北,7300 元/月,,"官方核验
新上
近地铁"
"朝阳-芍药居-世奥国际中心
/
        70.00㎡
        /南        /
          1房间1卫        
/
          低楼层                        （25层）",整租·世奥国际中心 1房间 南,7500 元/月,,"官方核验
业主自荐
新上
精装
集中供暖"
"精选          /
朝阳-北工大-松榆东里
/
        46.00㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·松榆东里 2室1厅 东,6730 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-K2十里春风
/
        90.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （27层）",整租·K2十里春风 3室1厅 南/北,2600 元/月,,"官方核验
精装
集中供暖
随时看房"
"房山-长阳-绿地启航社
/
        55.00㎡
        /南        /
          2房间1卫        
/
          中楼层                        （16层）",整租·绿地启航社 2房间 南,2800 元/月,,"官方核验
精装
集中供暖
随时看房"
"大兴-大兴新机场-天恒旭辉7号院
/
        36.70㎡
        /东南        /
          3房间1卫        
/
          中楼层                        （7层）",整租·天恒旭辉7号院 3房间 东南,2400 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
朝阳-红庙-慈云寺
/
        59.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （14层）",整租·慈云寺 2室1厅 南,7690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-艾瑟顿
/
        78.00㎡
        /西南        /
          1室1厅1卫        
/
          高楼层                        （20层）",整租·艾瑟顿 1室1厅 西南,9800 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
丰台-角门-康缘居
/
        89.35㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·康缘居 2室1厅 南,7230 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"大兴-黄村火车站-福兴雅苑
/
        94.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·福兴雅苑 2室1厅 南/北,4200 元/月,,"官方核验
近地铁
精装"
"精选          /
亦庄开发区-亦庄-富源里
/
        85.53㎡
        /北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·富源里 2室1厅 北,6060 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-万达-保利大都汇
/
        52.00㎡
        /西        /
          1室1厅2卫        
/
          低楼层                        （22层）",整租·保利大都汇 1室1厅 西,5200 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"精选          /
海淀-田村-田村29号院
/
        56.07㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·田村29号院 2室1厅 南,7060 元/月,,"新上
公寓
精装
押一付一
随时看房"
"西城-月坛-三里河三区
/
        40.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·三里河三区 1室1厅 北,7200 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"精选          /
朝阳-酒仙桥-飘HOME
/
        58.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （25层）",整租·飘HOME 1室1厅 北,7330 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-甘家口-阜成路8号院
/
        82.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （3层）",整租·阜成路8号院 3室1厅 南/北,13000 元/月,,"官方核验
业主自荐
新上
近地铁
精装
集中供暖"
"精选          /
丰台-角门-康缘居
/
        89.35㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·康缘居 2室1厅 南,7230 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"石景山-石景山其它-长安九里
/
        86.22㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （26层）",整租·长安九里 2室1厅 南/北,12000 元/月,,"官方核验
精装
集中供暖"
"精选          /
亦庄开发区-亦庄-富源里
/
        85.53㎡
        /北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·富源里 2室1厅 北,6060 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"门头沟-上岸地铁-中国铁建梧桐汇
/
        78.00㎡
        /南        /
          3房间1卫        
/
          高楼层                        （25层）",整租·中国铁建梧桐汇 3房间 南,4400 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
海淀-田村-田村29号院
/
        56.07㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·田村29号院 2室1厅 南,7060 元/月,,"新上
公寓
精装
押一付一
随时看房"
"昌平-昌平其它-西山上品湾MOMA
/
        130.96㎡
        /南        /
          3室1厅2卫        
/
          高楼层                        （11层）",整租·西山上品湾MOMA 3室1厅 南,7000 元/月,,"官方核验
精装
集中供暖
双卫生间"
"精选          /
朝阳-酒仙桥-飘HOME
/
        58.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （25层）",整租·飘HOME 1室1厅 北,7330 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"昌平-回龙观-冠庭园
/
        121.56㎡
        /东 西        /
          3房间1卫        
/
          中楼层                        （7层）",整租·冠庭园 3房间 东/西,10000 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
丰台-蒲黄榆-蒲黄榆路
/
        37.00㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （15层）",整租·蒲黄榆路 1室1厅 南,5560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-双桥-玲珑山
/
        48.00㎡
        /西        /
          1房间1卫        
/
          中楼层                        （9层）",整租·玲珑山 1房间 西,4500 元/月,,"官方核验
精装
集中供暖"
"精选          /
朝阳-国展-静安里
/
        42.52㎡
        /东南        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·静安里 1室1厅 东南,6930 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"东城-建国门内-赵堂子胡同
/
        58.05㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （12层）",整租·赵堂子胡同 1室1厅 东,7800 元/月,,"官方核验
近地铁
精装"
"精选          /
丰台-西罗园-西罗园南里
/
        56.22㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·西罗园南里 2室1厅 南,5730 元/月,,"新上
公寓
精装
集中供暖
押一付一
随时看房"
"东城-建国门内-宝珠子胡同
/
        42.00㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （7层）",整租·宝珠子胡同 1室1厅 东,6600 元/月,,"官方核验
精装
集中供暖
随时看房"
"房山-长阳-FCC中央城
/
        43.00㎡
        /南        /
          2房间1卫        
/
          高楼层                        （24层）",整租·FCC中央城 2房间 南,3600 元/月,,"官方核验
近地铁
精装
集中供暖"
"海淀-五棵松-复兴路30号院
/
        59.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （16层）",整租·复兴路30号院 2室1厅 南,7800 元/月,,"官方核验
集中供暖"
"精选          /
通州-临河里-华业东方玫瑰B区
/
        89.98㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （27层）",整租·华业东方玫瑰B区 2室1厅 南,5760 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-劲松-农光南路
/
        65.34㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·农光南路 1室1厅 东,6000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"昌平-西关环岛-琥珀郡
/
        47.70㎡
        /西 北        /
          2房间1卫        
/
          中楼层                        （18层）",整租·琥珀郡 2房间 西/北,2900 元/月,,"官方核验
集中供暖
随时看房"
"顺义-后沙峪-双裕小区
/
        80.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （6层）",整租·双裕小区 3室1厅 南/北,5000 元/月,,"官方核验
集中供暖
随时看房"
"精选          /
朝阳-望京-望京西园一区
/
        59.24㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （28层）",整租·望京西园一区 1室1厅 北,8760 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-万泉庄1号院
/
        50.72㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·万泉庄1号院 2室1厅 南,9300 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"仅剩3间
/
                35.00㎡
        /3间在租        /
        1室1厅1卫",独栋·领寓 百子湾店 百子湾 化工地铁口loft月付 无服务费 可长租短租 1室1厅,3080-3580 元/月,,"独栋公寓
月租
近地铁
精装
开放厨房
押一付一"
"大兴-黄村火车站-福兴雅苑
/
        99.60㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·福兴雅苑 2室1厅 南/北,4200 元/月,,"官方核验
精装
集中供暖"
"54.00㎡
        /7间在租        /
        1室1厅1卫",独栋·大广公寓 望京店 望京城景落地窗大开间 1室1厅,7300 元/月,,"独栋公寓
月租
近地铁
精装
有阳台
开放厨房
押一付一"
"海淀-苏州桥-艾瑟顿
/
        78.00㎡
        /西南        /
          1室1厅1卫        
/
          高楼层                        （20层）",整租·艾瑟顿 1室1厅 西南,9800 元/月,,"官方核验
近地铁
精装
集中供暖"
"仅剩1间
/
                18.00㎡
        /1间在租        /
        1室0厅1卫",独栋·北京愿景公寓 东四东单灯市口甘柏店 温馨开间 开间,6490 元/月,,"独栋公寓
月租
近地铁
精装
有阳台
开放厨房"
"丰台-花乡-天伦锦城
/
        63.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （12层）",整租·天伦锦城 1室1厅 南,4600 元/月,,"官方核验
业主自荐
新上"
"精选          /
朝阳-中央别墅区-京旺家园
/
        57.67㎡
        /南 北        /
          1室1厅1卫        
/
          中楼层                        （16层）",整租·京旺家园 1室1厅 南/北,4600 元/月,,"公寓
精装
集中供暖
随时看房"
"海淀-苏州桥-艾瑟顿
/
        78.00㎡
        /西南        /
          1室1厅1卫        
/
          高楼层                        （20层）",整租·艾瑟顿 1室1厅 西南,9800 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
通州-通州其它-永丰里A区
/
        90.60㎡
        /东南 南        /
          2室2厅1卫        
/
          低楼层                        （15层）",整租·永丰里A区 2室2厅 东南/南,3999 元/月,,"公寓
近地铁
精装
集中供暖"
"丰台-花乡-天伦锦城
/
        63.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （12层）",整租·天伦锦城 1室1厅 南,4600 元/月,,"官方核验
业主自荐
新上"
"精选          /
通州-通州其它-紫运南里二区
/
        55.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （21层）",整租·紫运南里二区 1室1厅 南,4099 元/月,,"公寓
近地铁
精装
集中供暖
随时看房"
"丰台-七里庄-望园东里
/
        96.85㎡
        /西北        /
          3室1厅1卫        
/
          低楼层                        （24层）",整租·望园东里 3室1厅 西北,8000 元/月,,"官方核验
新上
近地铁
精装
集中供暖
随时看房"
"精选          /
通州-通州其它-紫运南里二区
/
        60.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （24层）",整租·紫运南里二区 1室1厅 南,4200 元/月,,"公寓
近地铁
精装
集中供暖
随时看房"
"海淀-紫竹桥-车道沟南里
/
        48.40㎡
        /西南        /
          1室1厅1卫        
/
          高楼层                        （21层）",整租·车道沟南里 1室1厅 西南,6800 元/月,,"官方核验
新上
近地铁
精装
集中供暖
随时看房"
"精选          /
通州-通州其它-朗芳园一区
/
        90.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （28层）",整租·朗芳园一区 2室1厅 南,3999 元/月,,"公寓
月租
精装
集中供暖
随时看房"
"房山-长阳-绿地启航社
/
        55.00㎡
        /南        /
          2房间1卫        
/
          中楼层                        （16层）",整租·绿地启航社 2房间 南,2800 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
顺义-顺义其它-旭辉26街区
/
        26.05㎡
        /南 北        /
          1室1厅1卫        
/
          中楼层                        （9层）",整租·旭辉26街区 1室1厅 复式 南/北,3200 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-K2十里春风
/
        90.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （27层）",整租·K2十里春风 3室1厅 南/北,2600 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
顺义-顺义其它-旭辉26街区
/
        39.95㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （8层）",整租·旭辉26街区 1室1厅 LOFT 西,4000 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-六里桥-盛今佳园
/
        439.18㎡
        /南 北        /
          5室3厅3卫        
/
          中楼层                        （26层）",整租·盛今佳园 5室3厅 南/北,65000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
大兴-义和庄-万科天地
/
        56.68㎡
        /西        /
          3室1厅2卫        
/
          高楼层                        （13层）",整租·万科天地 3室1厅 LOFT 西,4499 元/月,,"公寓
近地铁
精装
集中供暖
双卫生间
随时看房"
"朝阳-安贞-安华里社区
/
        58.00㎡
        /东 西        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·安华里社区 2室1厅 东/西,6800 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"通州-万达-保利大都汇
/
        52.00㎡
        /西        /
          1室1厅2卫        
/
          低楼层                        （22层）",整租·保利大都汇 1室1厅 西,5200 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"顺义-顺义其它-金茂北京国际社区
/
        71.50㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （10层）",整租·金茂北京国际社区 2室1厅 南/北,2900 元/月,,"官方核验
集中供暖"
"精选          /
朝阳-双井-百环家园
/
        59.32㎡
        /南 北        /
          1室1厅1卫        
/
          低楼层                        （26层）",整租·百环家园 1室1厅 南/北,6000 元/月,,"公寓
精装
随时看房"
"朝阳-CBD-阳光100
/
        145.00㎡
        /东南        /
          3室2厅2卫        
/
          高楼层                        （30层）",整租·阳光100 3室2厅 东南,19000 元/月,,"官方核验
精装
集中供暖
双卫生间
随时看房"
"大兴-黄村火车站-福兴雅苑
/
        94.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·福兴雅苑 2室1厅 南/北,4200 元/月,,"官方核验
近地铁
精装"
"西城-月坛-三里河三区
/
        40.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·三里河三区 1室1厅 北,7200 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"精选          /
朝阳-东大桥-东大桥东里
/
        87.72㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （6层）",整租·东大桥东里 3室1厅 南/北,12000 元/月,,"公寓
精装
随时看房"
"亦庄开发区-亦庄-国锐金嵿
/
        108.90㎡
        /西南        /
          3房间1卫        
/
          低楼层                        （38层）",整租·国锐金嵿 3房间 西南,9000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
朝阳-望京-北纬40度二期
/
        98.11㎡
        /南        /
          3室1厅1卫        
/
          中楼层                        （29层）",整租·北纬40度二期 3室1厅 南,9500 元/月,,"新上
公寓
近地铁
精装
集中供暖
随时看房"
"朝阳-朝青-天鹅湾北区
/
        47.00㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （8层）",整租·天鹅湾北区 1室1厅 西,9000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
朝阳-常营-北京像素南区
/
        50.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （16层）",整租·北京像素南区 1室1厅 南,3800 元/月,,"新上
公寓
近地铁
精装
集中供暖
随时看房"
"东城-广渠门-金桥国际
/
        62.78㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （21层）",整租·金桥国际 1室1厅 南,6800 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
昌平-回龙观-萬橡悦府
/
        89.38㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （18层）",整租·萬橡悦府 3室1厅 南/北,7000 元/月,,"公寓
精装
集中供暖
随时看房"
"朝阳-望京-花家地北里
/
        76.08㎡
        /南        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·花家地北里 3室1厅 南,8500 元/月,,"新上
近地铁
集中供暖
押一付一
随时看房"
"精选          /
顺义-顺义其它-旭辉26街区
/
        25.93㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （9层）",整租·旭辉26街区 1室1厅 LOFT 北,3300 元/月,,"公寓
月租
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-望京-花家地北里
/
        76.08㎡
        /南        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·花家地北里 3室1厅 南,8500 元/月,,"新上
近地铁
集中供暖
押一付一
随时看房"
"通州-乔庄-乔庄北区
/
        88.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·乔庄北区 2室1厅 南/北,4100 元/月,,"新上
精装
集中供暖
押一付一
随时看房"
"海淀-清河-毛纺厂南小区
/
        52.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·毛纺厂南小区 2室1厅 南,5768 元/月,,"新上
精装
集中供暖
押一付一
随时看房"
"朝阳-健翔桥-华严北里8号院
/
        81.38㎡
        /东南 北        /
          2室1厅1卫        
/
          中楼层                        （28层）",整租·华严北里8号院 2室1厅 东南/北,8500 元/月,,"新上
集中供暖
押一付一
随时看房
首次出租"
"丰台-马家堡-晨新园
/
        76.24㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·晨新园 2室1厅 南/北,5820 元/月,,"新上
近地铁
集中供暖
押一付一
随时看房
首次出租"
