标题,小区名称,价格,面积,户型
整租·融泽嘉园东一路6号院 2室1厅 南/北,昌平-回龙观-融泽嘉园东一路6号院,5250 元/月,87.00㎡,/
独栋·ZOME己美 北京方庄地铁站店 精致大床房 开间,仅剩2间,2580-2880 元/月,20.00-22.00㎡,/
整租·望园西里 2室2厅 南/北,丰台-七里庄-望园西里,6600 元/月,58.00㎡,/
独栋·ZOME己美 北京西局地铁站店 精致套房 开间,仅剩2间,3180 元/月,25.00㎡,/
整租·茂华景公阁 3室2厅 南/北,石景山-杨庄-茂华景公阁,9000 元/月,141.27㎡,/
整租·柏林爱乐一期 1室1厅 西,精选,6130 元/月,朝阳-常营-柏林爱乐一期,/
整租·和悦华锦 4室2厅 南/北,大兴-亦庄开发区其它-和悦华锦,10000 元/月,136.00㎡,/
整租·西井小区二区 2室1厅 南,精选,5090 元/月,石景山-苹果园-西井小区二区,/
整租·首开万科城市之光盛佳尚苑 3房间 东,通州-通州其它-首开万科城市之光盛佳尚苑,4200 元/月,37.13㎡,/
整租·琥珀郡 2房间 北,精选,4030 元/月,昌平-西关环岛-琥珀郡,/
整租·首开国风美仑 3室1厅 南/北,通州-通州其它-首开国风美仑,4800 元/月,89.00㎡,/
独栋·冠寓 北京新国展店 长租免住30天 开间,仅剩3间,1873-2247 元/月,14.00-16.00㎡,/
整租·珠江四季悦城 4房间 南,通州-通州其它-珠江四季悦城,4800 元/月,90.00㎡,/
独栋·泰禾寓 义和庄店 短租两居室 2室1厅,仅剩2间,4656-5000 元/月,90.00㎡,/
整租·IDCITY艾迪城 4房间 南,顺义-后沙峪-IDCITY艾迪城,9500 元/月,83.93㎡,/
独栋·ZOME己美 北京西局地铁站店 精致套房 开间,仅剩2间,3180 元/月,25.00㎡,/
整租·天裕昕园西区 2室1厅 南/北,顺义-中央别墅区-天裕昕园西区,4500 元/月,80.00㎡,/
独栋·ZOME己美 北京方庄地铁站店 精致大床房 开间,仅剩2间,2580-2880 元/月,20.00-22.00㎡,/
整租·上北鑫座 1房间 南,昌平-回龙观-上北鑫座,4590 元/月,38.44㎡,/
独栋·魔方公寓 北京普乐门青年路店 一口价！南向不靠街 1室1厅,仅剩3间,5200 元/月,45.00㎡,/
整租·远洋春秋里 3房间 北,石景山-苹果园-远洋春秋里,7500 元/月,66.00㎡,/
独栋·中海友里公寓 中海友里苏庄地铁站店 独卫一居（距地铁50M) 开间,仅剩3间,2000-2050 元/月,24.00-27.23㎡,/
整租·前进花园石门苑 3室1厅 南/北,顺义-顺义城-前进花园石门苑,5300 元/月,95.27㎡,/
整租·中海城紫鑫阁 2房间 南,精选,5960 元/月,朝阳-成寿寺-中海城紫鑫阁,/
整租·龙博苑三区 3室1厅 南/北,昌平-回龙观-龙博苑三区,7300 元/月,87.00㎡,/
整租·常楹公元自由派 1房间 东,朝阳-常营-常楹公元自由派,4500 元/月,37.29㎡,/
整租·恒大领寓 1房间 西,朝阳-豆各庄-恒大领寓,4300 元/月,50.19㎡,/
整租·西井小区二区 2室1厅 南,精选,5090 元/月,石景山-苹果园-西井小区二区,/
整租·世奥国际中心 2房间 东,朝阳-芍药居-世奥国际中心,12000 元/月,83.48㎡,/
整租·风度柏林 1室0厅 北,朝阳-大望路-风度柏林,8200 元/月,52.00㎡,/
整租·花家地西里二区 3室1厅 南/北,朝阳-望京-花家地西里二区,9500 元/月,86.23㎡,/
整租·琥珀郡 2房间 北,精选,4030 元/月,昌平-西关环岛-琥珀郡,/
整租·双裕小区 2室1厅 南/北,顺义-后沙峪-双裕小区,4500 元/月,80.00㎡,/
整租·保利茉莉公馆 2室1厅 南,精选,7030 元/月,大兴-高米店-保利茉莉公馆,/
整租·金铸阳光苑 1室1厅 南,石景山-苹果园-金铸阳光苑,4900 元/月,60.00㎡,/
整租·动物园宿舍 1室1厅 南,精选,6930 元/月,海淀-白石桥-动物园宿舍,/
整租·双榆树东里 2室1厅 南,海淀-双榆树-双榆树东里,8800 元/月,63.40㎡,/
整租·东亚上北中心 2房间 北,精选,5090 元/月,昌平-回龙观-东亚上北中心,/
整租·蝶翠华庭 1室1厅 东北,西城-广安门-蝶翠华庭,7300 元/月,68.29㎡,/
整租·安慧里一区 2室1厅 南,精选,8330 元/月,朝阳-亚运村-安慧里一区,/
整租·天裕昕园西区 2室1厅 南/北,顺义-中央别墅区-天裕昕园西区,4500 元/月,80.00㎡,/
整租·新光大中心 1室1厅 西北,精选,4800 元/月,通州-北关-新光大中心,/
整租·金铸阳光苑 1室1厅 南,石景山-苹果园-金铸阳光苑,4900 元/月,60.00㎡,/
整租·紫运南里三区 2室1厅 南,精选,4400 元/月,通州-通州其它-紫运南里三区,/
整租·双榆树东里 2室1厅 南,海淀-双榆树-双榆树东里,8800 元/月,63.40㎡,/
整租·永丰里C区 2室1厅 南,精选,3900 元/月,通州-通州其它-永丰里C区,/
整租·蝶翠华庭 1室1厅 东北,西城-广安门-蝶翠华庭,7300 元/月,68.29㎡,/
整租·永丰里C区 1室1厅 南,精选,3699 元/月,通州-通州其它-永丰里C区,/
整租·花家地西里二区 3室1厅 南/北,朝阳-望京-花家地西里二区,9500 元/月,86.23㎡,/
整租·福兴雅苑 1室0厅 南,精选,3400 元/月,大兴-黄村火车站-福兴雅苑,/
整租·龙博苑三区 3室1厅 南/北,昌平-回龙观-龙博苑三区,7300 元/月,87.00㎡,/
整租·朗芳园六区 1室1厅 南,精选,2999 元/月,通州-通州其它-朗芳园六区,/
整租·中东路121号院二区 2室1厅 南,昌平-西三旗-中东路121号院二区,5700 元/月,74.00㎡,/
整租·图景嘉园 2室2厅 南/北,精选,6850 元/月,海淀-海淀北部新区-图景嘉园,/
整租·双河南里尚城北区 1室1厅 南,大兴-枣园-双河南里尚城北区,3500 元/月,50.68㎡,/
整租·世奥国际中心 2房间 东,朝阳-芍药居-世奥国际中心,12000 元/月,83.48㎡,/
整租·双裕小区 2室1厅 南/北,顺义-后沙峪-双裕小区,4500 元/月,80.00㎡,/
整租·强佑清河新城府学上院 1室1厅 南,精选,5499 元/月,海淀-清河-强佑清河新城府学上院,/
整租·首城国际B区 2室1厅 东南,朝阳-双井-首城国际B区,11300 元/月,83.00㎡,/
整租·清枫华景园 1室1厅 东,海淀-学院路-清枫华景园,8600 元/月,85.11㎡,/
整租·世奥国际中心 2房间 东,朝阳-芍药居-世奥国际中心,7000 元/月,69.64㎡,/
整租·康营家园四期A区 2室1厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·兴政西里 3室1厅 南/北,大兴-黄村中-兴政西里,4000 元/月,80.49㎡,/
整租·旭辉26街区 1室1厅 北,精选,3500 元/月,顺义-顺义其它-旭辉26街区,/
整租·广外大街397号 1室1厅 南,西城-广安门-广外大街397号,5800 元/月,39.34㎡,/
整租·叠翠庭苑一区 2室1厅 南/北,精选,6700 元/月,石景山-苹果园-叠翠庭苑一区,/
整租·北街家园六区 1室0厅 西,昌平-沙河-北街家园六区,2800 元/月,29.43㎡,/
整租·北花园小区2号院 2室1厅 南,精选,6700 元/月,朝阳-双桥-北花园小区2号院,/
整租·左家庄北里 2室1厅 东/西,朝阳-国展-左家庄北里,6825 元/月,57.00㎡,/
整租·丰侨公寓 1室1厅 东,西城-金融街-丰侨公寓,11760 元/月,70.33㎡,/
整租·新源街 3室1厅 东南/北,朝阳-亮马桥-新源街,8400 元/月,61.00㎡,/
整租·叠翠庭苑一区 2室1厅 南/北,精选,6700 元/月,石景山-苹果园-叠翠庭苑一区,/
整租·合生滨江帝景二期 2室1厅 南,通州-玉桥-合生滨江帝景二期,5600 元/月,90.00㎡,/
整租·图景嘉园 2室2厅 南/北,精选,6850 元/月,海淀-海淀北部新区-图景嘉园,/
整租·丰侨公寓 1室1厅 东,西城-金融街-丰侨公寓,11760 元/月,70.33㎡,/
整租·康营家园四期A区 2室1厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·北苑家园莲葩园 2室1厅 东/南/北,朝阳-北苑-北苑家园莲葩园,7875 元/月,112.00㎡,/
整租·北花园小区2号院 2室1厅 南,精选,6700 元/月,朝阳-双桥-北花园小区2号院,/
整租·甘露西园 3室1厅 西南,朝阳-十里堡-甘露西园,7500 元/月,93.83㎡,/
整租·强佑清河新城府学上院 1室1厅 南,精选,5499 元/月,海淀-清河-强佑清河新城府学上院,/
整租·金隅凤麟洲 2室2厅 南/北,朝阳-朝青-金隅凤麟洲,13900 元/月,102.00㎡,/
整租·紫金新园二区 1室1厅 东,门头沟-石门营-紫金新园二区,3000 元/月,45.84㎡,/
整租·金融街长安中心 1房间 东,石景山-古城-金融街长安中心,4600 元/月,52.00㎡,/
整租·荣京丽都 3房间 东北,亦庄开发区-亦庄-荣京丽都,5300 元/月,45.00㎡,/
整租·沿海赛洛城六期 2室1厅 东/西/北,朝阳-百子湾-沿海赛洛城六期,7200 元/月,75.00㎡,/
整租·康家园 1室1厅 东,朝阳-甘露园-康家园,5300 元/月,50.00㎡,/
整租·中国铁建原香漫谷二区 3室1厅 南/北,房山-城关-中国铁建原香漫谷二区,3000 元/月,89.00㎡,/
整租·通州万国城MOMA 3室1厅 南,通州-乔庄-通州万国城MOMA,8500 元/月,112.00㎡,/
整租·永定翠庭 2室2厅 东/西,海淀-五棵松-永定翠庭,18000 元/月,89.70㎡,/
整租·东亚三环 2房间 西,丰台-马家堡-东亚三环,5000 元/月,44.08㎡,/
整租·凯盛家园 1室1厅 南,海淀-海淀北部新区-凯盛家园,5100 元/月,60.00㎡,/
整租·华腾国际 3室2厅 北,朝阳-大望路-华腾国际,18000 元/月,160.06㎡,/
整租·小关北里 1室1厅 东南,朝阳-惠新西街-小关北里,5400 元/月,5400.00㎡,/
整租·华远九都汇 3房间 西/北,朝阳-燕莎-华远九都汇,16000 元/月,140.00㎡,/
整租·绿地环球文化金融城 4房间 南,石景山-石景山其它-绿地环球文化金融城,6500 元/月,116.00㎡,/
整租·金隅自由筑 3房间 东,通州-临河里-金隅自由筑,2700 元/月,53.00㎡,/
整租·自由季 1房间 西,东城-广渠门-自由季,4500 元/月,45.16㎡,/
整租·京投万科金域公园 2室1厅 南/北,房山-长阳-京投万科金域公园,5100 元/月,92.00㎡,/
整租·621小区 2室1厅 南,海淀-清河-621小区,6100 元/月,58.00㎡,/
整租·MOHO国际写字楼 2房间 南,东城-东花市-MOHO国际写字楼,4000 元/月,22.12㎡,/
整租·天朗园 3室2厅 东南/北,朝阳-奥林匹克公园-天朗园,15300 元/月,164.00㎡,/
整租·润枫嘉尚 1房间 西,朝阳-石佛营-润枫嘉尚,5300 元/月,39.55㎡,/
整租·西现代城 1室0厅 北,石景山-杨庄-西现代城,4200 元/月,39.00㎡,/
整租·芳馨园 2室1厅 东/南,朝阳-国展-芳馨园,12000 元/月,100.00㎡,/
整租·首经贸中街1号院 1室1厅 南,丰台-玉泉营-首经贸中街1号院,5563 元/月,72.00㎡,/
整租·西山国际城 5房间 南/北,海淀-田村-西山国际城,9300 元/月,54.00㎡,/
整租·上奥世纪中心 1房间 东,昌平-西三旗-上奥世纪中心,4600 元/月,46.53㎡,/
整租·砖角楼南里 2室1厅 东/西,朝阳-和平里-砖角楼南里,6800 元/月,56.00㎡,/
整租·南十里居 2室1厅 南/北,朝阳-朝阳公园-南十里居,5900 元/月,59.00㎡,/
整租·阳光上东 3室2厅 南/北,朝阳-酒仙桥-阳光上东,29000 元/月,189.00㎡,/
整租·乐府江南 2室1厅 西北,海淀-田村-乐府江南,9000 元/月,82.00㎡,/
整租·临河悦园14号院 3室1厅 南/北,顺义-顺义其它-临河悦园14号院,3200 元/月,102.00㎡,/
整租·天居园 3室1厅 南,朝阳-奥林匹克公园-天居园,11000 元/月,138.80㎡,/
整租·柳浪家园南里 2室1厅 南,海淀-马连洼-柳浪家园南里,11000 元/月,89.00㎡,/
整租·万科天地 3房间 南,大兴-义和庄-万科天地,4000 元/月,57.00㎡,/
整租·明天第一城8号院 2房间 南,朝阳-立水桥-明天第一城8号院,5800 元/月,62.76㎡,/
整租·南海家园三里 1室1厅 东南,大兴-亦庄开发区其它-南海家园三里,3600 元/月,62.00㎡,/
整租·阜成路8号院 3室2厅 南/北,海淀-甘家口-阜成路8号院,27000 元/月,145.00㎡,/
整租·建材城东一里 1室1厅 南,海淀-西三旗-建材城东一里,4400 元/月,50.70㎡,/
整租·万明园 1室1厅 南,西城-月坛-万明园,6700 元/月,43.00㎡,/
整租·首邑上城 2房间 南,大兴-枣园-首邑上城,4030 元/月,61.00㎡,/
整租·悠乐汇 1房间 西南,朝阳-望京-悠乐汇,6720 元/月,50.00㎡,/
整租·新光大中心 3房间 东,通州-北关-新光大中心,8400 元/月,117.00㎡,/
整租·红松园1号院 1室1厅 南,朝阳-东坝-红松园1号院,3700 元/月,32.00㎡,/
整租·五和万科长阳天地9号院 2房间 东,房山-长阳-五和万科长阳天地9号院,3500 元/月,46.00㎡,/
整租·上地东里 1室0厅 南,海淀-上地-上地东里,5000 元/月,60.00㎡,/
整租·长河湾 1室0厅 北,海淀-西直门-长河湾,6130 元/月,48.00㎡,/
整租·三里河二区 2室1厅 南/北,西城-月坛-三里河二区,9500 元/月,60.00㎡,/
整租·观湖国际 2室2厅 东/西,朝阳-朝阳公园-观湖国际,18000 元/月,127.27㎡,/
整租·格调小区 1室1厅 北,西城-马连道-格调小区,5900 元/月,55.96㎡,/
整租·烟厂宿舍 2室1厅 南,精选,5290 元/月,朝阳-管庄-烟厂宿舍,/
整租·乐澜宝邸 4室1厅 南/北,朝阳-劲松-乐澜宝邸,17000 元/月,166.00㎡,/
整租·程庄路3号院 2室1厅 南,精选,5190 元/月,丰台-五里店-程庄路3号院,/
整租·天作国际中心 2室1厅 东,海淀-皂君庙-天作国际中心,13500 元/月,112.22㎡,/
整租·中国铁建原香漫谷四区 2室1厅 南/北,房山-城关-中国铁建原香漫谷四区,2500 元/月,87.52㎡,/
整租·宣武门西大街 2室1厅 南,精选,7960 元/月,西城-金融街-宣武门西大街,/
整租·首开国风美唐一期 1室1厅 北,精选,5930 元/月,昌平-回龙观-首开国风美唐一期,/
整租·国风北京二期 1室1厅 南,精选,9930 元/月,朝阳-望京-国风北京二期,/
整租·金色漫香郡南区 4室2厅 南/北,大兴-南中轴机场商务区-金色漫香郡南区,8000 元/月,138.00㎡,/
整租·西山国际城 2房间 复式 西,海淀-田村-西山国际城,4800 元/月,29.15㎡,/
整租·清源西里 2室1厅 东,精选,4290 元/月,大兴-枣园-清源西里,/
整租·莲水怡园 3室2厅 南/北,通州-马驹桥-莲水怡园,6700 元/月,126.00㎡,/
整租·花家地西里一区 2室1厅 南/北,朝阳-望京-花家地西里一区,6700 元/月,61.28㎡,/
整租·柳浪家园北里 1室1厅 西,精选,6460 元/月,海淀-马连洼-柳浪家园北里,/
整租·望园西里 2室1厅 南/北,丰台-七里庄-望园西里,5600 元/月,60.00㎡,/
整租·润枫嘉尚 2房间 东北,朝阳-石佛营-润枫嘉尚,6700 元/月,57.00㎡,/
整租·润枫嘉尚 2房间 东北,朝阳-石佛营-润枫嘉尚,6700 元/月,57.00㎡,/
整租·新外大街3号院 2室1厅 西北,海淀-小西天-新外大街3号院,7400 元/月,54.80㎡,/
整租·康静里 1室1厅 南,精选,5090 元/月,朝阳-东坝-康静里,/
整租·金泰城迷你 1室1厅 西,精选,6560 元/月,丰台-菜户营-金泰城迷你,/
整租·葛洲坝北京紫郡兰园 3室1厅 南/北,海淀-海淀北部新区-葛洲坝北京紫郡兰园,7500 元/月,89.00㎡,/
整租·八里庄北里小区 2室1厅 西,精选,7230 元/月,朝阳-石佛营-八里庄北里小区,/
整租·建邦华庭东区 2室1厅 南/北,房山-长阳-建邦华庭东区,4600 元/月,89.00㎡,/
整租·会展誉景 2房间 北,顺义-中央别墅区-会展誉景,5000 元/月,68.92㎡,/
整租·金地未未来 3房间 南,精选,4790 元/月,顺义-顺义其它-金地未未来,/
整租·雍景天成 2室2厅 南/北,石景山-苹果园-雍景天成,9000 元/月,136.00㎡,/
整租·定安里 2室1厅 西,精选,5730 元/月,东城-永定门-定安里,/
整租·宏仁家园 2室1厅 南,通州-马驹桥-宏仁家园,4300 元/月,87.90㎡,/
整租·首城国际中心 3房间 西,朝阳-双井-首城国际中心,11500 元/月,56.00㎡,/
整租·兴琦家园 2室1厅 南,精选,6930 元/月,丰台-马家堡-兴琦家园,/
整租·新通国际花园 1室1厅 东南,通州-梨园-新通国际花园,4600 元/月,71.20㎡,/
整租·绿地·京西景园 1室1厅 南,石景山-城子-绿地·京西景园,3100 元/月,51.00㎡,/
整租·石园北区 2室1厅 南/北,顺义-顺义城-石园北区,3200 元/月,78.00㎡,/
整租·惠新北里1号院 1室1厅 南,精选,6590 元/月,朝阳-惠新西街-惠新北里1号院,/
整租·北京新天地四期 1室1厅 东北,朝阳-常营-北京新天地四期,5600 元/月,67.00㎡,/
整租·绿地中央广场 1室1厅 LOFT 南,精选,4580 元/月,通州-北关-绿地中央广场,/
整租·融泽嘉园中路1号院 2室1厅 南,精选,7360 元/月,昌平-回龙观-融泽嘉园中路1号院,/
整租·泰华滨河苑 2室1厅 南,精选,7560 元/月,朝阳-朝阳公园-泰华滨河苑,/
整租·汇新家园 2室1厅 西南,精选,12560 元/月,海淀-万柳-汇新家园,/
整租·广渠家园 2室1厅 东,精选,6660 元/月,东城-广渠门-广渠家园,/
整租·gogo新世代 1室1厅 东,丰台-方庄-gogo新世代,5700 元/月,46.39㎡,/
整租·什锦花园胡同21号院 2室1厅 南,东城-东四-什锦花园胡同21号院,7800 元/月,50.00㎡,/
整租·仁悦居8号院 2室1厅 南/北,顺义-顺义其它-仁悦居8号院,3400 元/月,86.00㎡,/
整租·林肯公园B区 3房间 北,亦庄开发区-亦庄-林肯公园B区,8500 元/月,96.00㎡,/
整租·铁二区 1室1厅 东/南/北,西城-月坛-铁二区,7800 元/月,46.80㎡,/
整租·北京像素南区 1房间 南,朝阳-常营-北京像素南区,4600 元/月,50.54㎡,/
整租·新华联家园北区 1室2厅 复式 南/北,通州-果园-新华联家园北区,4200 元/月,42.30㎡,/
整租·中新佳园一区 3室1厅 南/北,西城-马连道-中新佳园一区,15000 元/月,137.00㎡,/
整租·京通苑 2室1厅 东南,朝阳-管庄-京通苑,5200 元/月,72.39㎡,/
整租·树村丽景苑 1室1厅 东,精选,6560 元/月,海淀-马连洼-树村丽景苑,/
整租·法源寺西里小区 1室1厅 南,精选,6490 元/月,西城-牛街-法源寺西里小区,/
整租·旧宫新苑南区 2室1厅 南/北,大兴-旧宫-旧宫新苑南区,4800 元/月,84.00㎡,/
整租·青年公寓 1室1厅 南,精选,7530 元/月,海淀-皂君庙-青年公寓,/
整租·新纪家园 2室2厅 西南,朝阳-太阳宫-新纪家园,10500 元/月,90.00㎡,/
整租·农科院 1室1厅 南,精选,8460 元/月,海淀-皂君庙-农科院,/
整租·金隅糖 2房间 东,房山-长阳-金隅糖,3400 元/月,38.07㎡,/
整租·新中西街 2室1厅 南,精选,8860 元/月,东城-朝阳门外-新中西街,/
整租·宝星国际二期 1室1厅 东,精选,8990 元/月,朝阳-望京-宝星国际二期,/
整租·远中悦莱 1室1厅 东,海淀-苏州桥-远中悦莱,10500 元/月,75.16㎡,/
整租·建设部大院 3室2厅 南/西,海淀-甘家口-建设部大院,16500 元/月,103.84㎡,/
整租·中冶德贤公馆公寓 2房间 北,大兴-旧宫-中冶德贤公馆公寓,6300 元/月,68.00㎡,/
整租·龙湖香醍漫步一区 3室2厅 南/北,顺义-马坡-龙湖香醍漫步一区,6500 元/月,156.00㎡,/
整租·劳动关系学院 2室1厅 南,精选,7930 元/月,海淀-甘家口-劳动关系学院,/
整租·德林园 2室1厅 南/北,大兴-旧宫-德林园,5450 元/月,106.00㎡,/
整租·龙腾苑三区 2室1厅 南,精选,7360 元/月,昌平-回龙观-龙腾苑三区,/
整租·中信新城东区 3室1厅 南/北,亦庄开发区-亦庄开发区其它-中信新城东区,6500 元/月,89.00㎡,/
整租·龙湖唐宁one 1房间 北,海淀-五道口-龙湖唐宁one,9000 元/月,51.80㎡,/
整租·水木兰亭三期 3室2厅 南/北,顺义-中央别墅区-水木兰亭三期,20000 元/月,156.00㎡,/
整租·DBC加州小镇 1室1厅 南/北,通州-临河里-DBC加州小镇,3700 元/月,65.00㎡,/
整租·金海国际南区 1室1厅 西,朝阳-百子湾-金海国际南区,7300 元/月,79.47㎡,/
整租·远洋新天地 3房间 南,门头沟-上岸地铁-远洋新天地,4500 元/月,57.00㎡,/
整租·顶秀美泉小镇C区 3室2厅 南/北,怀柔-怀柔-顶秀美泉小镇C区,6000 元/月,117.00㎡,/
整租·建国门北大街5号 3室2厅 西,东城-建国门内-建国门北大街5号,20800 元/月,158.13㎡,/
整租·远见名苑三期 2室1厅 西南,西城-广安门-远见名苑三期,11000 元/月,104.00㎡,/
整租·龙冠冠华苑 2室1厅 南,精选,4690 元/月,昌平-北七家-龙冠冠华苑,/
整租·大兴金茂悦 3室1厅 南/北,大兴-大兴其它-大兴金茂悦,3000 元/月,80.00㎡,/
整租·通广嘉园 2室1厅 西,精选,5830 元/月,通州-果园-通广嘉园,/
整租·科委宿舍 2室1厅 南,海淀-定慧寺-科委宿舍,7000 元/月,58.00㎡,/
整租·新光大中心 1室1厅 南,精选,15000 元/月,通州-北关-新光大中心,/
整租·T3空间 4房间 南,顺义-顺义其它-T3空间,3500 元/月,60.00㎡,/
整租·国美第一城3号院 2室1厅 南,朝阳-朝青-国美第一城3号院,7900 元/月,95.00㎡,/
整租·绿地中央广场 1室1厅 LOFT 西北,精选,4700 元/月,通州-北关-绿地中央广场,/
整租·中国铁建国际公馆 3室1厅 南/北,大兴-亦庄开发区其它-中国铁建国际公馆,7000 元/月,89.00㎡,/
整租·静安里 2室1厅 南,精选,7890 元/月,朝阳-国展-静安里,/
整租·九龙花园 1室1厅 北,朝阳-双井-九龙花园,6900 元/月,67.00㎡,/
整租·华樾北京一期 3室1厅 南,精选,9990 元/月,朝阳-中央别墅区-华樾北京一期,/
整租·保利大都汇 1室1厅 南,精选,5560 元/月,通州-万达-保利大都汇,/
整租·通州富力中心A 4室1厅 南/北,通州-武夷花园-通州富力中心A,15500 元/月,189.26㎡,/
